,SMILES,Standard Value,pIC50
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,470,6.327902142
CHEMBL4278269,Cc1cc(-c2c[se]cc2-c2ccc(OCCN3CCCC3)c(C)c2)ccc1O,5,8.301029996
CHEMBL188957,CCCc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,11,7.958607315
CHEMBL189706,CCOC(=O)c1cc(O)cc2nc(-c3ccc(O)cc3)oc12,190,6.721246399
CHEMBL188230,O=Cc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,59,7.229147988
CHEMBL188528,Oc1ccc(-c2nc3cc(O)cc(Br)c3o2)cc1,1.4,8.853871964
CHEMBL187671,CC(C)(C)c1cc(-c2nc3ccc(O)cc3o2)ccc1O,1600,5.795880017
CHEMBL8145,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,1200,5.920818754
CHEMBL73989,Oc1ccc2c(c1)CC1Oc3cc(O)ccc3N=C21,1400,5.853871964
CHEMBL372808,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OC[C@H](C)N3CCCC3)cc2)c2ccc(O)cc12,2.3,8.638272164
CHEMBL83451,Oc1ccc2c(c1)S[C@H](c1ccncc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,8202,5.086080235
CHEMBL85536,Oc1ccc2c(c1)S[C@H](Cc1ccccc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,60,7.22184875
CHEMBL103305,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(Cl)c1,284,6.54668166
CHEMBL90072,Oc1ccc([C@@H]2Sc3cc(O)c(Cl)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,73,7.13667714
CHEMBL98558,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,83,7.080921908
CHEMBL3234617,Oc1ccc(C(=Nc2ccccc2Cl)c2ccc(O)cc2)cc1,19,7.721246399
CHEMBL3234622,Oc1ccc(C(=Nc2ccc(Br)cc2)c2ccc(O)cc2)cc1,6,8.22184875
CHEMBL379889,Cc1cc(O)cc2ncn(-c3ccc(O)cc3)c(=S)c12,79,7.102372909
CHEMBL195058,Oc1ccc2cc(-c3ccccc3O)ccc2c1,2000,5.698970004
CHEMBL261680,Nc1ccc(-c2ccc(O)cc2)cc1Cl,2900,5.537602002
CHEMBL361871,C=Cc1cc(O)c(Br)c2nc(-c3ccc(O)c(F)c3)oc12,25,7.602059991
CHEMBL363902,Oc1ccc(-c2nc3cc(O)cc(-c4nccs4)c3o2)cc1,366,6.436518915
CHEMBL361063,C=Cc1cc(O)cc2nc(-c3ccc(O)cc3C)oc12,27,7.568636236
CHEMBL189356,C=CCc1cc(O)cc2nc(-c3ccc(O)cc3F)oc12,3,8.522878745
CHEMBL187207,Oc1cc(Br)c2oc(-c3ccc(O)c(F)c3)nc2c1,3,8.522878745
CHEMBL187392,Oc1ccc(-c2nc3cc(O)ccc3o2)cc1,6,8.22184875
CHEMBL362793,Oc1ccc(-c2nc3cc(O)c(Cl)cc3o2)cc1F,64,7.193820026
CHEMBL360817,Oc1ccc2oc(-c3ccc(O)c(F)c3)nc2c1,66,7.180456064
CHEMBL89995,Oc1ccc2c(c1)CCN(c1ccccc1)C2CC1CCCCC1,295,6.530177984
CHEMBL189025,Oc1ccc2nc(-c3ccc(O)c(O)c3)oc2c1,105,6.978810701
CHEMBL365941,O=Cc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)cc12,3.4,8.468521083
CHEMBL258553,N#Cc1ccccc1-c1ccc(O)cc1,1800,5.744727495
CHEMBL78567,O=c1c2oc3c(Br)cc(O)cc3c2oc2cc(O)cc(O)c12,343,6.46470588
CHEMBL231811,O/N=C/c1ccc(-c2ccc(O)cc2)c2sccc12,4,8.397940009
CHEMBL327515,Cc1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCC3)cc2)cc1,448,6.348721986
CHEMBL91807,Oc1cccc(C2Sc3cc(O)ccc3OC2c2ccc(OCCN3CCCCC3)cc2)c1,245,6.610833916
CHEMBL400480,C=C[C@]12CCC(=C)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,120,6.920818754
CHEMBL440283,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,9.9,8.004364805
CHEMBL153395,CN(C[C@@H]1C[C@@H]1c1ccccc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCNCC2)n1,20,7.698970004
CHEMBL364333,O=C(O)c1cc(O)cc2nc(-c3ccc(O)cc3)oc12,5000,5.301029996
CHEMBL82483,O=c1c2cc(O)ccc2oc2c1oc1cc(O)ccc12,192,6.716698771
CHEMBL313849,O=C(N1CCc2cc(O)ccc2C1c1ccc(Br)cc1)C(F)(F)F,22,7.657577319
CHEMBL187000,C/C=C\c1cc(O)cc2nc(-c3ccc(O)cc3F)oc12,23,7.638272164
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,45900,4.338187314
CHEMBL311878,O=c1c2oc3ccc(O)cc3c2oc2cc(O)cc(O)c12,42,7.37675071
CHEMBL312186,O=c1c2c(O)cc(O)cc2oc2oc3cc(O)ccc3c12,1.7,8.769551079
CHEMBL103650,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(F)cc1,421,6.375717904
CHEMBL77620,Cc1cc(O)cc2c1N=C(c1ccc(O)c(Br)c1)C(C)O2,90,7.045757491
CHEMBL101083,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,92,7.036212173
CHEMBL286115,O=C1c2ccc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,2732,5.563519305
CHEMBL187314,Oc1ccc2cc(-c3nc4ccc(O)cc4o3)ccc2c1,533,6.273272791
CHEMBL185890,N#Cc1cc(O)ccc1-c1noc2cc(O)ccc12,12,7.920818754
CHEMBL187087,Oc1ccc(-c2nc3ccc(O)cc3o2)c(O)c1,3,8.522878745
CHEMBL188051,Oc1ccc2c(-c3cccc4c(O)cccc34)noc2c1,1.5,8.823908741
CHEMBL188882,Oc1ccc(-c2noc3cc(O)ccc23)cc1,54,7.26760624
CHEMBL71584,Oc1ccc([C@@H]2Sc3ccc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,238.8,6.621965678
CHEMBL30439,Oc1ccc([C@@H]2Cc3ccc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,8.9,8.050609993
CHEMBL71585,Oc1ccc2c(c1)S[C@@H](c1ccccc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,183,6.73754891
CHEMBL1405,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,540,6.26760624
CHEMBL92660,Oc1ccc([C@@H]2Sc3c(ccc(O)c3Cl)O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,64,7.193820026
CHEMBL372304,COc1cc(-c2ccc(O)cc2)nc2ccc(O)cc12,1190,5.924453039
CHEMBL382698,C=C(C)c1cc(O)cc2ncn(-c3ccc(O)cc3)c(=O)c12,2302,5.637894681
CHEMBL380359,O=c1c2c(CO)cc(O)cc2ncn1-c1ccc(O)cc1,24,7.619788758
CHEMBL187663,CC(C)c1cc(O)cc2nc(-c3ccc(O)cc3)oc12,82,7.086186148
CHEMBL1627353,C[C@]12CC[C@@H]3c4ccc(O)cc4C(O)[C@@H](Sc4ccc(Br)cc4)[C@H]3[C@@H]1CC[C@@H]2O,63,7.200659451
CHEMBL185126,Cc1cc(O)cc2cc(-c3ccc(O)c(F)c3)oc12,4,8.397940009
CHEMBL126164,Oc1ccc([C@H]2Sc3cc(O)ccc3S[C@H]2c2ccc(OCCN3CCCC3)cc2)cc1,266,6.575118363
CHEMBL361272,Oc1ccc(-c2nc3cc(O)cc(/C=C\Br)c3o2)c(F)c1,16,7.795880017
CHEMBL2113002,C[C@@H]1c2cc(O)ccc2O[C@@H](c2ccc(O[C@H](C)CN3CCCC3)cc2)[C@H]1c1ccc(O)cc1,143,6.844663963
CHEMBL179518,CCCN1CCN(c2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)CC1,29.37,7.532096053
CHEMBL181936,C[C@@H]1c2cc(O)ccc2O[C@@H](c2ccc(OCCN3CCCC3)cc2)[C@H]1c1ccc(O)cc1,12,7.920818754
CHEMBL100617,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(O)c1,46.99,7.327994555
CHEMBL304552,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,4.5,8.346787486
CHEMBL204025,Cc1c(O)ccc2c1OC(C)(C)c1c-2ccc(O)c1C,45,7.346787486
CHEMBL206547,CCC1Oc2c(ccc(O)c2C)-c2ccc(O)c(C)c21,3.2,8.494850022
CHEMBL377254,CC[C@@]12CCC(=O)C(Cl)=C1c1ccc3[nH]ncc3c1C2=O,4.1,8.387216143
CHEMBL379595,CCC12CCC(=O)C(Br)=C1c1ccc3[nH]ncc3c1C2=O,8,8.096910013
CHEMBL213829,CCCC[C@@]12CCC(=O)C(CC)=C1c1ccc3[nH]nc(F)c3c1C2,0.3,9.522878745
CHEMBL211614,CCCC[C@@]12CCC(=O)C(Br)=C1c1ccc(O)cc1C2,1.5,8.823908741
CHEMBL378675,CCCCC12CCC(=O)C(c3ccco3)=C1c1ccc(O)cc1C2,3.1,8.508638306
CHEMBL1087919,CN(C)CCOc1ccc([C@@H]2Oc3cc(O)ccc3C3=C2c2ccccc2OCC3)cc1,30,7.522878745
CHEMBL210063,O=C1CCC2(Cc3ccccc3)Cc3cc(O)ccc3C2=C1c1ccc(OCCN2CCCCC2)cc1,180,6.744727495
CHEMBL369979,C=CC[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,128,6.89279003
CHEMBL202400,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43/C=C/F)C1CC[C@@H]2O,22,7.657577319
CHEMBL380469,CCCCC12CCC(=O)C(c3ccccc3)=C1c1ccc(O)cc1C2,2,8.698970004
CHEMBL214207,CN(C)CCOc1ccc(C2=C3c4ccc(O)cc4CC3(Cc3ccccc3)CCC2=O)cc1,560,6.251811973
CHEMBL193146,Oc1ccc(-c2cc(F)c3c(Cl)c(O)ccc3c2)cc1,1.1,8.958607315
CHEMBL371624,N#Cc1cc(-c2ccc(O)cc2)cc2ccc(O)cc12,2.3,8.638272164
CHEMBL195560,Oc1ccc(C2=COc3cc(O)ccc3C2)cc1,680,6.167491087
CHEMBL192901,O=Cc1cc(O)cc2ccc(-c3ccc(O)c(F)c3)cc12,1.1,8.958607315
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,3.6,8.443697499
CHEMBL192102,Oc1ccc(-c2ccc3c(-c4ccccc4)c(O)ccc3c2)cc1,748,6.126098402
CHEMBL424829,COc1cc(-c2cc(=O)c3cc(O)ccc3o2)ccc1O,4480,5.348721986
CHEMBL388418,Cc1c(/C=N/O)c2ccccc2n1-c1ccc(O)cc1,12,7.920818754
CHEMBL315866,Oc1ccc2c(c1)CCN(c1ccccc1)C2Cc1ccccc1,66.4,7.177831921
CHEMBL377565,O=C1C=C2c3ccc(O)cc3CC2(Cc2ccccc2)CC1,4220,5.374687549
CHEMBL83623,Oc1ccc2c(c1)S[C@H](c1cccs1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,162,6.790484985
CHEMBL93391,CN(C)C(=O)/C=C/c1ccc(N2CCc3cc(O)ccc3C2c2ccccc2)cc1,8.7,8.060480747
CHEMBL242818,Cc1cc(O)ccc1N1C(=O)c2ccc(O)cc2C1=O,2810,5.55129368
CHEMBL188619,Oc1ccc2c(-c3ccccc3O)noc2c1,254,6.595166283
CHEMBL365293,Oc1ccc(-c2noc3ccccc23)c(O)c1,718,6.143875556
CHEMBL189039,Oc1ccc(-c2nc3cc(O)cc(CBr)c3o2)cc1,40,7.397940009
CHEMBL188391,Oc1ccc(-c2nc3cc(O)ccc3o2)c(Cl)c1,59,7.229147988
CHEMBL44426,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,40,7.397940009
CHEMBL103294,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(Cl)cc1,396,6.402304814
CHEMBL329849,Cc1c(O)ccc2c1O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2,68.3,7.165579296
CHEMBL74757,CC1Oc2cc(O)ccc2N=C1c1ccc(O)cc1,330,6.48148606
CHEMBL192154,N#Cc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)cc12,2.7,8.568636236
CHEMBL193518,O=c1oc2cc(O)ccc2c(Cc2ccccc2)c1-c1ccc(Cl)cc1,250,6.602059991
CHEMBL191648,C=Cc1cc(O)cc2ccc(-c3ccc(O)c(F)c3)cc12,7.3,8.13667714
CHEMBL447837,Oc1ccc(-c2ccc3c(Cl)c(O)ccc3c2)c(F)c1,1.2,8.920818754
CHEMBL450940,C=Cc1cc(O)cc2nc(-c3ccc(O)c(F)c3)oc12,5,8.301029996
CHEMBL187069,Oc1ccc(-c2noc3ccc(O)cc23)cc1,46,7.337242168
CHEMBL188189,Oc1ccc2c(-c3ccc(O)c(F)c3)noc2c1,8,8.096910013
CHEMBL435090,CCCc1cc(O)ccc1-c1noc2cc(O)ccc12,20,7.698970004
CHEMBL189287,Oc1ccc(-c2nc3cc(O)ccc3o2)c(O)c1,25,7.602059991
CHEMBL187313,Oc1ccc2cc(-c3nc4cc(O)ccc4o3)ccc2c1,521,6.283162277
CHEMBL246139,C/C=C\[C@]12CC[C@H](O)CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,16,7.795880017
CHEMBL316080,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCC2)cc1,22.2,7.653647026
CHEMBL298398,O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21,2400,5.619788758
CHEMBL93826,Oc1ccc(C2CN(Cc3ccccc3)Cc3cc(O)ccc32)cc1,13.1,7.882728704
CHEMBL101719,CN(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1,3110,5.507239611
CHEMBL319678,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(Cl)c1,106,6.974694135
CHEMBL1408676,Cc1cc(C(=O)Nc2sc3c(c2C#N)CCC3)no1,11494.69,4.939502737
CHEMBL1568118,O=C(Nc1ccc(O)cc1C(=O)O)c1ccc2c(c1)C(=O)N(Cc1ccco1)C2=O,13774.77,4.860915644
CHEMBL1538696,Cc1csc(C(C#N)C(=O)c2ccncc2)n1,13880.77,4.857586442
CHEMBL577758,Cc1ccc(-c2csc(NC(=O)c3ccno3)n2)cc1,3874.41,5.411794423
CHEMBL1578278,Cc1ccc(C(=O)Nc2nc(-c3cccnc3)cs2)o1,21179.79,4.67407835
CHEMBL1501342,Cc1cc(Cl)ccc1OCC(=O)OC(C)C(=O)N(C)C,16682.18,4.777747197
CHEMBL180253,C[C@H]1c2cc(O)ccc2O[C@@H](c2ccc(OCCN3CCCCC3)cc2)[C@H]1c1ccc(O)cc1,627,6.202732459
CHEMBL191238,N#Cc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)c(Cl)c12,11,7.958607315
CHEMBL370039,O=C(Cc1cc2ccccc2o1)c1ccc(O)cc1O,43000,4.366531544
CHEMBL539927,Oc1ccc([C@@H]2Sc3cc(O)ccc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,52,7.283996656
CHEMBL94225,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCNC3CCCCCC3)cc2)c1,103,6.987162775
CHEMBL78254,O=c1c2ccc(O)cc2oc2c1sc1ccccc12,2933,5.532687937
CHEMBL192621,Oc1cc(F)c(-c2ccc3cc(O)ccc3c2)c(F)c1,2.3,8.638272164
CHEMBL192218,N#Cc1cc(O)c(Cl)c2ccc(-c3ccc(O)cc3)cc12,3,8.522878745
CHEMBL376986,CCCCC12CCC(=O)C(C#N)=C1c1ccc(O)cc1C2,38,7.420216403
CHEMBL212418,CCCC12CCC(=O)C(C)=C1c1ccc(O)cc1C2,11,7.958607315
CHEMBL381299,CCCCCC12CCC(=O)C=C1c1ccc(O)cc1C2,945,6.024568191
CHEMBL377342,CCCCC12CCC(=O)C=C1c1ccc(O)cc1C2,188,6.725842151
CHEMBL414859,Cc1c(O)ccc2c1oc(=O)c1cc(O)cc(C)c12,54,7.26760624
CHEMBL206727,CCc1c(O)ccc2c1c(=O)oc1c(F)c(O)ccc12,21,7.677780705
CHEMBL383753,Cc1c(O)ccc2c1oc(=O)c1c(C)c(NS(C)(=O)=O)ccc12,433,6.363512104
CHEMBL380452,C/C=C/c1cccc2c(=O)oc3c(C)c(O)ccc3c12,116,6.935542011
CHEMBL426854,CCc1c(O)ccc2c1oc(=O)c1cc(Br)ccc12,2340,5.630784143
CHEMBL205009,COc1ccc2c(c1)c(=O)oc1c(C)c(O)ccc12,308,6.511449283
CHEMBL379566,CCC12CCC(=O)C(C)=C1c1ccc3[nH]nc(Br)c3c1C2,103,6.987162775
CHEMBL377457,CCCCC12CCC(=O)C(C)=C1c1ccc3[nH]nnc3c1C2,27,7.568636236
CHEMBL213481,CCC1=C2c3ccc4[nH]nnc4c3CC2(CC)CCC1=O,18,7.744727495
CHEMBL371012,Oc1ccc(-c2c(-c3ccccc3)[nH]c3ccccc23)cc1,1.12,8.950781977
CHEMBL180973,O=C(c1ccc(N2CCN(C(=O)c3ccccc3Cl)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,3.21,8.493494968
CHEMBL420611,Oc1ccc2c(c1)SC(c1ccccc1)C(c1ccc(OCCN3CCCCC3)cc1)O2,300,6.522878745
CHEMBL181368,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OCCN3CCCCCC3)cc2)[C@H]1c1ccc(O)cc1,18,7.744727495
CHEMBL182404,C[C@H]1CCN([C@@H](C)COc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,45,7.346787486
CHEMBL368449,C[C@@H]1c2cc(O)ccc2O[C@@H](c2ccc(OC[C@H](C)N3CC[C@@H](C)C3)cc2)[C@H]1c1ccc(O)cc1,21,7.677780705
CHEMBL307205,CC1(C)Oc2cc(O)ccc2N=C1c1ccc(O)cc1,5600,5.251811973
CHEMBL91452,O=C(N1CCc2cc(O)ccc2C1c1cccs1)C(F)(F)F,63.5,7.197226275
CHEMBL184491,NC(=O)C1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1,366,6.436518915
CHEMBL427496,O=C(c1ccc(N2CCN(C(=O)c3ccccc3O)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,7.92,8.101274818
CHEMBL245378,C[C@]12CC[C@H]3[C@@H](CC=C4[C@H]5CC[C@]43CC[C@@H]5O)[C@@H]1CC[C@@H]2O,50,7.301029996
CHEMBL238961,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)n(Cc2ccc(OCCCN3CCCCC3)cc2)c2ccccc12,426,6.370590401
CHEMBL498082,CCCC[C@@H]1C[C@H]1[C@@H](N)c1ccc(-c2ccc(O)cc2)cc1F.Cl,15030,4.823041019
CHEMBL455215,O/N=C/c1ccc(-c2ccc(O)cc2)cc1F,32.3,7.490797478
CHEMBL360385,N#CCc1cc(O)c(Br)c2cc(-c3ccc(O)cc3)oc12,2,8.698970004
CHEMBL190487,O=C1C(c2ccc(O)cc2)=C(Br)c2c(O)cc(O)cc21,267,6.573488739
CHEMBL202738,O=c1c2c(O)cc(O)cc2ncn1-c1cccc(O)c1,3842,5.415442639
CHEMBL206426,O=c1c2c(O)cc(O)cc2ncn1-c1ccc(O)nc1,51696,4.286543059
CHEMBL377644,CCCC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]ncc3c1C2,0.8,9.096910013
CHEMBL183368,Cc1cc(O)c2cccc(-c3nc4ccc(O)cc4o3)c2c1,6,8.22184875
CHEMBL365903,NC(=O)c1cc(O)cc2nc(-c3ccc(O)cc3)oc12,95,7.022276395
CHEMBL184003,CCCCc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,79,7.102372909
CHEMBL188299,Oc1ccc2cc(-c3noc4ccc(O)cc34)ccc2c1,112,6.950781977
CHEMBL183152,N#CCc1cc(O)c(Cl)c2cc(-c3ccc(O)cc3)oc12,7.9,8.102372909
CHEMBL195154,N#Cc1cc(-c2cc(F)c(O)c(F)c2)cc2ccc(O)cc12,58,7.236572006
CHEMBL194873,Oc1cccc(-c2ccc3ccc(O)cc3c2)c1,566,6.247183569
CHEMBL194718,Oc1ccc2ccc(-c3ccccc3)cc2c1,527,6.278189385
CHEMBL372029,CN1CCC(c2ccc(C3c4ccc(O)cc4CCN3c3cccc(O)c3)cc2)CC1,1730,5.761953897
CHEMBL195165,CCC1=N[C@H](c2ccc(OCCN3CCCCC3)cc2Cl)[C@H](c2ccc(O)cc2Cl)N1,6000,5.22184875
CHEMBL432454,O=C1c2ccc(OCCN3CCCCC3)cc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,223,6.651695137
CHEMBL201809,CC#C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,381,6.419075024
CHEMBL201364,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43CC=O)C1CC[C@@H]2O,1619,5.790753151
CHEMBL204389,CO/C=C/[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12,1299,5.886390849
CHEMBL205988,Cc1c(O)ccc2c1oc(=O)c1cccc(C)c12,326,6.4867824
CHEMBL203519,Cc1c(O)ccc2c1oc(=O)c1ccccc12,1450,5.838631998
CHEMBL203072,CCC1Oc2c(ccc(O)c2C)-c2c(C)cc(O)c(C)c21,2.3,8.638272164
CHEMBL206584,Cc1cc(O)c(C)c2c1-c1ccc(O)c(C)c1OC2C,9,8.045757491
CHEMBL378798,Cc1c(O)ccc2c1COc1c-2ccc(O)c1C,88,7.055517328
CHEMBL206500,CCc1c(O)ccc2c1oc(=O)c1c(C)c(O)ccc12,7.8,8.107905397
CHEMBL204819,Cc1c(O)ccc2c1oc(=O)c1c(O)c(O)ccc12,82,7.086186148
CHEMBL206600,Cc1c(O)ccc2c1oc(=O)c1cc(O)ccc12,46,7.337242168
CHEMBL204922,Cc1c(O)ccc2c1oc(=O)c1c(C)c(O)ccc12,4.1,8.387216143
CHEMBL381622,C=Cc1cc(OC)cc2c(=O)oc3c(C)c(O)ccc3c12,53,7.27572413
CHEMBL202896,CCc1cc(OC)cc2c(=O)oc3c(C)c(O)ccc3c12,69,7.161150909
CHEMBL380358,Cc1c(O)ccc2c1oc(=O)c1c(C)ccc(C)c12,80,7.096910013
CHEMBL189541,NC1=C(c2ccc(O)cc2)C(=O)c2cc(O)ccc21,1150,5.93930216
CHEMBL191836,O=C1C(c2ccc(O)cc2)=C(c2ccccc2)c2cc(O)cc(O)c21,3,8.522878745
CHEMBL188515,OCc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,1340,5.872895202
CHEMBL184598,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CC4CCC4C3)cc2)cc1,85,7.070581074
CHEMBL2403355,CCC(CC)(c1ccc(O)c(C)c1)c1ccc(O)c(C)c1,260,6.585026652
CHEMBL2403362,CCCCC(CCCC)(c1ccc(O)cc1)c1ccc(O)cc1,180,6.744727495
CHEMBL198410,Oc1ccc2nc(-c3ccc(O)c(F)c3)cc(Cl)c2c1,5.3,8.27572413
CHEMBL183044,C[C@H](CN1CCCC1)Oc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,363,6.440093375
CHEMBL381566,C#C[C@]1(O)CCC2C3CC=C4C[C@@H](O)CC[C@]4(C=C)C3CC[C@@]21C,14,7.853871964
CHEMBL437065,C#C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,17,7.769551079
CHEMBL382097,CC[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12,16,7.795880017
CHEMBL380876,CO/C=C\[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12,303,6.518557371
CHEMBL202007,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43/C=C\F)C1CC[C@@H]2O,25,7.602059991
CHEMBL363963,C=Cc1cc(O)cc2nc(-c3ccc(O)c(F)c3F)oc12,3.7,8.431798276
CHEMBL189200,CCCc1cc(-c2noc3cc(O)ccc23)c(CCC)cc1O,3.1,8.508638306
CHEMBL185918,Oc1ccc2nc(-c3cccc4c(O)cccc34)oc2c1,5,8.301029996
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,130,6.886056648
CHEMBL101997,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,82,7.086186148
CHEMBL193727,Oc1ccc2cc(-c3ccc(O)c(F)c3)ccc2c1,5,8.301029996
CHEMBL364092,Oc1ccc(-c2ccc3c(Cl)c(O)ccc3c2)cc1,2.52,8.598599459
CHEMBL195466,Oc1cccc(N2CCc3cc(O)ccc3C2c2ccc(N3CCN(C4CCCC4)CC3)cc2)c1,1110,5.954677021
CHEMBL381495,CCCCC12CCC(=O)C(C)=C1c1ccc(O)cc1C2,16,7.795880017
CHEMBL212185,CCCCC12CCC(=O)C(Br)=C1c1ccc3[nH]ncc3c1C2,4.9,8.30980392
CHEMBL329902,CN(C)CCOc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2cccc(O)c2)cc1,7.3,8.13667714
CHEMBL203283,Cc1cc(O)ccc1-n1cnc2cc(O)cc(O)c2c1=O,422,6.374687549
CHEMBL202894,CCc1nc2cc(O)cc(O)c2c(=O)n1-c1ccc(O)cc1,5752,5.240181123
CHEMBL203370,O=c1c2ccc(O)cc2ncn1-c1ccc(O)cc1,8609,5.065047292
CHEMBL363705,Oc1ccc(-c2nc3cc(O)c(Br)cc3o2)cc1F,42,7.37675071
CHEMBL179929,COc1ccc2c(c1)CO[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,315,6.501689446
CHEMBL194772,Oc1ccc(-c2ccc3ccccc3c2)cc1,245,6.610833916
CHEMBL427180,COc1cc(O)ccc1-c1ccc2cc(O)ccc2c1,27,7.568636236
CHEMBL372411,Cc1nocc1-c1nc2ccccc2n1-c1ccc(O)cc1,14.3,7.844663963
CHEMBL367588,Oc1ccc(-c2cc3cc(O)ccc3o2)cc1,6,8.22184875
CHEMBL184421,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CC[C@H]4C[C@H]43)cc2)cc1,33,7.48148606
CHEMBL219577,CC(C)Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,37,7.431798276
